Stock,Trades,Wins,Losses,Win Rate %,Net PnL,Average PnL,Largest Win,Largest Loss
SUZLON,10,5,5,50.0,3192.9367944760666,319.2936794476067,1591.6615089375023,-1051.9391196402476
RELIANCE,7,3,4,42.857142857142854,2385.8228595070573,340.83183707243677,1970.8331490450032,-1012.8622258015957
TATAMOTORS,7,2,5,28.57142857142857,-177.99903025482172,-25.42843289354596,1932.8823929655248,-847.8157514041795
ITC,1,0,1,0.0,-676.5545557324783,-676.5545557324783,-676.5545557324783,-676.5545557324783
SBIN,6,2,4,33.33333333333333,-882.6621383245487,-147.1103563874248,1578.0075019008307,-1073.8472346831604
IRFC,5,1,4,20.0,-2667.2293943453888,-533.4458788690778,1543.5296649072302,-1083.1615130771622
