date,Symbol,close,future_return,target,prediction,probability_up,probability_down,fold,train_start,train_end,test_start,test_end,confidence,direction,trade_return,position_size,optimized_return,result,paper_return,paper_capital_before,paper_pnl,paper_capital,paper_drawdown,original_trade_return,risk_control_factor,risk_controlled_return
2026-02-01 00:00:00+05:30,SUZLON-EQ,46.17,0.0405024907948883,1,1,0.7097031036527771,0.2902968963472229,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7097031036527771,BUY,0.0405024907948883,1.0,0.0405024907948883,WIN,0.0405024907948883,100000.0,4050.2490794888304,104050.24907948884,0.0,0.0405024907948883,0.5,0.02025124539744415
2026-02-01 00:00:00+05:30,TATAMOTORS-EQ,344.65,0.0721021325982882,1,1,0.7113899051719109,0.2886100948280891,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7113899051719109,BUY,0.0721021325982882,1.0,0.0721021325982882,WIN,0.0721021325982882,104050.24907948884,7502.2448560142175,111552.49393550308,0.0,0.0721021325982882,0.5,0.0360510662991441
2026-02-02 00:00:00+05:30,SUZLON-EQ,46.99,0.0255373483719938,1,1,0.7332871432606484,0.2667128567393516,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7332871432606484,BUY,0.0255373483719938,1.0,0.0255373483719938,WIN,0.0255373483719938,111552.49393550308,2848.7548993956675,114401.24883489872,0.0,0.0255373483719938,0.5,0.0127686741859969
2026-02-05 00:00:00+05:30,SUZLON-EQ,47.85,-0.0217345872518286,0,1,0.6818218796995719,0.3181781203004281,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6818218796995719,BUY,-0.0217345872518286,1.0,-0.0217345872518286,LOSS,-0.0217345872518286,114401.24883489872,-2486.463924520261,111914.78491037844,-0.0217345872518286,-0.0217345872518286,0.5,-0.0108672936259143
2026-02-06 00:00:00+05:30,TATAMOTORS-EQ,369.5,0.0290933694181325,1,0,0.3280621656869675,0.6719378343130324,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6719378343130324,SELL,-0.0290933694181325,1.0,-0.0290933694181325,LOSS,-0.0290933694181325,111914.78491037844,-3255.978180748481,108658.80672962996,-0.0501956242938931,-0.0290933694181325,0.5,-0.01454668470906625
2026-02-06 00:00:00+05:30,SUZLON-EQ,48.04,-0.0493338884263113,0,1,0.6691893241822766,0.3308106758177234,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6691893241822766,BUY,-0.0493338884263113,1.0,-0.0493338884263113,LOSS,-0.0493338884263113,108658.80672962996,-5360.5614477356885,103298.24528189428,-0.0970531673918004,-0.0493338884263113,0.5,-0.02466694421315565
2026-02-09 00:00:00+05:30,TATAMOTORS-EQ,377.4,-0.0003974562798091,0,0,0.3496162550858753,0.6503837449141247,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6503837449141247,SELL,0.0003974562798091,1.0,0.0003974562798091,WIN,0.0003974562798091,103298.24528189428,41.05653628054962,103339.30181817483,-0.0966942855028465,0.0003974562798091,0.5,0.00019872813990455
2026-02-10 00:00:00+05:30,TATAMOTORS-EQ,379.35,0.0092263081586925,1,0,0.2137439823181111,0.7862560176818888,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7862560176818888,SELL,-0.0092263081586925,1.0,-0.0092263081586925,LOSS,-0.0092263081586925,103339.30181817483,-953.4402434786132,102385.86157469625,-0.1050284623863051,-0.0092263081586925,0.5,-0.00461315407934625
2026-02-11 00:00:00+05:30,TATAMOTORS-EQ,384.7,-0.0048089420327527,0,0,0.2791780902168327,0.7208219097831673,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7208219097831673,SELL,0.0048089420327527,1.0,0.0048089420327527,WIN,0.0048089420327527,102385.86157469625,492.3676732861562,102878.22924798238,-0.1007245961409574,0.0048089420327527,0.5,0.00240447101637635
2026-02-11 00:00:00+05:30,SBIN-EQ,1182.9,0.0304336799391327,1,0,0.3264430633937213,0.6735569366062786,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6735569366062786,SELL,-0.0304336799391327,1.0,-0.0304336799391327,LOSS,-0.0304336799391327,102878.22924798238,-3130.9631016378166,99747.26614634455,-0.1280928559591378,-0.0304336799391327,0.5,-0.01521683996956635
