Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
SARDAEN-EQ,490.0,508.89,521.27,39.09,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:34
NCLIND-EQ,173.0,181.91,184.27,35.37,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:35
AARVI-EQ,153.31,149.85,134.54,51.73,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:53:45
AHLEAST-EQ,142.37,146.23,149.18,43.57,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:46
DABUR-EQ,407.95,425.9,460.7,37.27,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:49
MAKEINDIA-EQ,169.08,164.16,157.95,68.6,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:53:52
TRF-EQ,232.0,235.39,254.56,47.22,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:53
SPENCERS-EQ,31.95,34.03,35.28,38.04,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:56
HINDOILEXP-EQ,162.4,160.31,153.87,53.24,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:53:57
DONEAR-EQ,85.0,85.94,89.32,48.42,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:53:59
MANALIPETC-EQ,67.39,64.24,58.66,59.29,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:00
SIS-EQ,438.8,426.96,365.18,57.42,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:03
MEDIASSIST-EQ,351.0,357.73,378.38,45.52,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:54:07
KAKATCEM-EQ,106.51,118.5,118.96,31.41,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:54:10
POWERGRID-EQ,269.0,283.25,286.88,31.86,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:54:11
MIDCAPBETA-EQ,239.9,232.59,223.42,67.8,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:14
IOC-EQ,140.6,141.41,150.89,48.08,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:54:15
MAWANASUG-EQ,112.0,110.23,96.17,51.03,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:21
QUESS-EQ,334.2,293.25,229.75,66.99,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:25
SOMICONVEY-EQ,87.59,97.34,105.9,31.9,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:54:28
RPPINFRA-EQ,58.78,62.48,75.29,39.88,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:54:30
HNGSNGBEES-EQ,480.05,489.01,509.19,41.92,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:54:32
ABCAPITAL-EQ,405.3,396.96,360.09,51.72,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:33
DVL-EQ,272.0,249.89,248.25,62.88,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:36
BAJEL-EQ,192.77,185.55,174.7,59.58,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:39
APCL-EQ,103.68,105.67,117.44,47.98,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:54:40
OLAELEC-EQ,39.86,39.8,35.72,50.55,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:44
RELAXO-EQ,417.0,394.98,356.45,56.34,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:48
CONSUMBEES-EQ,134.58,131.66,128.8,59.25,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:54
GTPL-EQ,54.55,60.69,70.3,33.17,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:54:55
MON100-EQ,331.16,324.04,279.15,56.0,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:54:57
VSTL-EQ,108.0,112.11,118.5,38.35,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:54:58
EUREKAFORB-EQ,452.0,457.02,498.22,48.2,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:01
HPL-EQ,322.25,344.14,348.77,36.39,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:02
HDFCNIFBAN-EQ,59.25,58.89,58.8,52.31,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:55:16
ABFRL-EQ,57.16,59.92,64.51,41.52,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:19
SMCGLOBAL-EQ,79.45,76.31,73.77,56.68,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:55:20
SUPREME-EQ,42.51,46.02,54.45,36.8,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:22
SPIC-EQ,67.2,67.55,70.07,49.08,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:23
GILT5YBEES-EQ,66.34,65.9,64.64,62.39,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:55:25
LOVABLE-EQ,73.0,73.61,73.81,47.86,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:27
GARUDA-EQ,183.49,177.24,176.63,55.47,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:55:32
NBCC-EQ,92.51,97.17,98.57,36.49,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:38
GENCON-EQ,39.89,40.25,43.22,48.48,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:40
SANATHAN-EQ,470.05,461.32,433.37,50.79,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:55:41
VALUEAXIS-EQ,33.3,33.12,32.8,54.33,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:55:44
TATAPOWER-EQ,378.05,383.99,389.31,45.82,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:45
JAICORPLTD-EQ,104.15,106.96,112.68,45.44,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:52
BAJAJHFL-EQ,84.76,86.24,87.59,41.99,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:58
ICICIB22-EQ,116.35,117.16,119.43,46.72,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:55:59
ONGC-EQ,239.45,246.25,259.63,40.71,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:56:01
FMCGIETF-EQ,52.12,52.84,53.93,40.83,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:56:02
MANAKALUCO-EQ,39.2,37.01,34.08,55.06,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:04
ENGINERSIN-EQ,239.2,234.46,217.96,54.49,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:09
AARTIDRUGS-EQ,431.5,405.16,382.72,62.3,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:15
HEALTHIETF-EQ,171.69,167.59,155.84,62.39,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:16
GAIL-EQ,174.51,172.9,165.35,51.21,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:17
HECPROJECT-EQ,136.15,131.86,123.64,53.9,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:20
CHEMPLASTS-EQ,182.35,199.32,235.52,39.68,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:56:24
ALLTIME-EQ,218.6,229.32,236.23,39.76,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:56:26
MEDICAMEQ-EQ,235.35,242.34,287.46,45.24,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:56:29
3PLAND-EQ,32.0,32.11,33.66,49.78,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:56:31
SHALBY-EQ,157.28,164.79,167.05,35.74,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:56:33
SUDARCOLOR-EQ,407.9,375.28,372.71,63.8,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:34
SAMBHV-EQ,118.43,116.74,105.68,50.92,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:39
MOTOUR-EQ,80.15,78.88,77.32,54.09,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:40
REPCOHOME-EQ,367.2,392.19,393.67,32.6,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:56:46
ABLBL-EQ,90.29,95.53,104.21,34.39,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:56:49
SNXT30BEES-EQ,43.77,42.66,41.25,68.13,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:50
EQUAL50ADD-EQ,349.21,344.34,338.89,57.56,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:54
DDEVPLSTIK-EQ,290.95,278.04,267.76,55.6,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:56
MAMATA-EQ,425.2,401.11,399.35,66.11,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:56:57
JMA-EQ,88.99,88.7,84.97,51.66,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:00
EUROBOND-EQ,162.1,165.44,170.45,46.75,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:57:04
FABTECH-EQ,145.5,152.12,162.85,34.02,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:57:11
CUBEXTUB-EQ,79.34,80.87,93.59,48.53,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:57:15
GROWWNXT50-EQ,75.18,73.09,69.85,61.63,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:18
TNPL-EQ,154.5,149.64,143.27,58.2,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:22
ORIENTCEM-EQ,134.0,136.81,146.16,43.75,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:57:23
TATASTEEL-EQ,185.0,190.54,194.72,42.28,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:57:25
RAMCOIND-EQ,359.1,335.7,304.91,58.51,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:26
BEPL-EQ,120.54,112.64,95.61,56.53,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:28
MOMIDMTM-EQ,65.06,63.8,62.57,61.03,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:35
MASPTOP50-EQ,80.96,78.91,74.87,60.45,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:37
FOODSIN-EQ,51.29,55.84,59.74,34.79,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:57:39
TARSONS-EQ,312.8,292.57,233.51,54.77,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:40
NEXT50BETA-EQ,80.12,78.27,74.98,65.82,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:42
NEXT50ADD-EQ,74.8,72.99,69.97,62.08,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,145,2026-08-12 19:57:45
STYL-EQ,411.5,356.54,286.03,66.99,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:49
SBIETFCON-EQ,124.02,122.05,119.38,54.88,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:50
MUFTI-EQ,80.07,84.45,86.2,40.79,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:57:52
ASIANENE-EQ,405.8,373.35,316.15,62.58,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:57:54
INTLCONV-EQ,72.75,76.77,79.07,33.53,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:57:57
TEXRAIL-EQ,107.76,110.46,111.68,43.94,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:57:58
GMRP&UI-EQ,96.73,99.3,105.04,44.51,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:00
BANKBETA-EQ,59.89,59.22,59.12,55.18,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:58:01
RAILTEL-EQ,285.8,297.96,314.9,39.91,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:03
SNXT50BETA-EQ,95.65,94.01,91.6,58.14,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:58:04
GATEWAY-EQ,54.9,57.91,57.95,39.32,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:05
ALEMBICLTD-EQ,84.2,88.62,90.81,37.54,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:19
STARCEMENT-EQ,199.98,205.72,213.69,39.0,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:23
HEXATRADEX-EQ,157.0,159.67,161.45,44.69,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:24
TOLINS-EQ,101.01,103.49,111.22,41.33,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:30
GICRE-EQ,355.85,362.59,374.52,42.2,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:32
VASWANI-EQ,51.55,53.47,55.71,41.03,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:34
PRAKASH-EQ,121.16,129.7,133.43,36.02,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:36
LTF-EQ,314.55,307.42,292.04,54.19,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:58:37
STANLEY-EQ,141.6,152.25,163.32,30.47,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:40
ONWARDTEC-EQ,289.25,282.41,274.4,53.11,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:58:41
MODEFENCE-EQ,105.32,102.98,94.33,58.35,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:58:43
BANSALWIRE-EQ,323.2,320.13,298.23,51.06,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:58:49
AWFIS-EQ,274.0,288.3,341.8,41.89,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:58:54
BBNPNBETF-EQ,58.08,57.74,57.7,51.77,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:58:55
ORIENTTECH-EQ,260.0,262.91,288.72,47.63,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:59:05
EBANKNIFTY-EQ,58.32,57.76,57.67,53.88,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:59:06
SBINEQWETF-EQ,34.11,33.53,32.99,57.26,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:59:09
SURAJLTD-EQ,218.38,225.21,234.08,42.9,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:59:10
ABGSEC-EQ,115.15,113.87,112.27,57.17,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,151,2026-08-12 19:59:12
INDOUS-EQ,80.05,86.56,106.08,34.06,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:59:14
MOMOMENTUM-EQ,63.06,62.0,61.75,60.66,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:59:20
XELPMOC-EQ,81.14,84.22,105.92,44.69,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:59:23
OBCL-EQ,53.0,53.77,55.03,45.82,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:59:24
SAIL-EQ,172.79,171.56,164.73,53.7,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:59:27
THOMASCOTT-EQ,336.0,309.79,300.31,59.98,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:59:31
RHIM-EQ,385.9,399.27,408.97,42.46,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:59:32
TTML-EQ,38.17,40.6,42.81,30.76,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:59:34
LINC-EQ,98.44,103.33,105.42,39.23,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:59:38
PAR-EQ,103.7,96.33,93.5,60.19,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:59:42
MANUFGBEES-EQ,167.51,161.95,155.94,64.96,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:59:49
MONQ50-EQ,148.2,142.26,120.31,61.5,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:59:51
MOMGF-EQ,165.5,161.25,155.11,61.78,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:59:52
BPL-EQ,52.68,54.34,55.0,41.83,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:59:53
ETERNAL-EQ,314.5,291.43,268.48,62.87,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:59:59
NRBBEARING-EQ,461.65,422.53,329.72,60.54,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:00:02
EFCIL-EQ,179.4,190.15,217.03,37.64,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:00:03
BANKNIFTY1-EQ,60.02,59.43,59.3,54.4,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:00:04
BELLACASA-EQ,240.28,245.27,280.68,45.97,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:00:07
FISCHER-EQ,37.76,37.87,38.45,48.54,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:00:10
KTKBANK-EQ,313.7,283.28,240.52,69.3,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:00:11
GROWWCHEM-EQ,30.58,30.06,28.6,54.89,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,141,2026-08-12 20:00:14
GROWWDEFNC-EQ,96.2,93.92,85.99,57.97,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:00:16
ABCOTS-EQ,199.0,210.8,315.57,38.38,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:00:20
BMWVENTLTD-EQ,58.01,58.48,58.53,48.48,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:00:22
CMSINFO-EQ,255.6,276.85,302.13,37.58,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:00:24
NEXT50ETF-EQ,75.1,73.24,70.07,59.92,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,142,2026-08-12 20:00:25
DHAMPURSUG-EQ,159.23,145.47,134.36,69.43,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:00:39
GAEL-EQ,165.36,161.83,147.51,51.64,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:00:41
SHADOWFAX-EQ,247.39,224.05,170.29,63.52,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,134,2026-08-12 20:00:43
ALGOQUANT-EQ,67.2,63.8,59.47,58.5,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,148,2026-08-12 20:00:45
CANHLIFE-EQ,147.9,146.5,143.39,50.61,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:00:50
UTLSOLAR-EQ,389.0,363.63,270.55,57.73,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:00:57
CLSEL-EQ,283.5,282.89,269.29,50.18,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:01:01
VESUVIUS-EQ,453.5,459.44,475.76,47.6,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:01:07
ONEPOINT-EQ,59.99,56.95,53.86,64.3,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:01:10
BHAGCHEM-EQ,280.35,275.44,240.49,51.38,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:01:12
TIRUMALCHM-EQ,160.72,172.02,191.07,39.57,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:01:14
5PAISA-EQ,387.05,360.23,335.53,61.96,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:01:17
GOCLCORP-EQ,432.6,402.34,327.41,64.04,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:01:19
TRANSRAILL-EQ,467.05,495.1,522.31,37.02,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:01:23
WEIZMANIND-EQ,78.39,79.55,84.25,47.43,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:01:29
INDUSTOWER-EQ,380.5,394.29,419.09,43.09,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:01:32
AUSOMENT-EQ,141.4,131.42,120.3,65.86,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:01:33
MOPSE-EQ,100.2,101.4,102.2,43.19,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:01:37
BRIGHOTEL-EQ,59.41,61.61,63.11,38.6,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:01:39
PASHUPATI-EQ,84.1,86.68,88.6,34.27,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:01:47
MANAKSTEEL-EQ,82.75,75.3,66.27,58.78,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:01:51
URBANCO-EQ,139.05,134.42,127.75,55.45,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:01:53
GOCOLORS-EQ,323.25,335.26,346.52,44.92,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:01:54
LAMBODHARA-EQ,113.5,112.42,109.55,50.82,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 20:01:57
ICDSLTD-EQ,39.52,41.29,42.99,44.75,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,165,2026-08-12 20:02:01
KRITI-EQ,67.2,69.51,76.25,44.54,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:02:04
BHARATCOAL-EQ,33.78,35.86,35.89,33.85,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,140,2026-08-12 20:02:05
IOB-EQ,33.84,34.11,34.46,46.72,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 20:02:10
