Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
RAMRAT-EQ,473.95,429.42,367.48,64.06,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:52
JYOTHYLAB-EQ,200.27,203.17,229.63,46.55,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:53
BALPHARMA-EQ,90.94,86.34,78.13,57.39,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:54
M&MFIN-EQ,395.85,359.15,341.34,60.95,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:56
TALBROAUTO-EQ,417.35,399.51,318.5,54.61,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:57
RHL-EQ,169.25,174.18,182.84,44.38,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:47:00
VGL-EQ,60.14,62.81,64.74,37.97,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:47:01
LOWVOL-EQ,210.75,207.82,206.03,55.62,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,165,2026-08-12 19:47:04
SUVEN-EQ,330.55,308.0,218.76,55.86,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:05
SALSTEEL-EQ,63.05,58.17,50.28,59.67,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:07
NDLVENTURE-EQ,128.79,128.19,115.22,51.43,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:11
AMDIND-EQ,51.18,46.93,45.04,64.4,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:13
NAHARSPING-EQ,304.5,284.06,234.1,58.69,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:47:16
RAMKY-EQ,387.7,399.61,459.68,45.64,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:47:22
