Stock,Symbol,LTP,Price,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Total Buy Quantity,Total Sell Quantity,Last Trade Quantity,Trade Volume,Average Price,SMMA20,SMMA120,RSI,ETQ 5m,ETQ 20m,ETQ 60m,Average LTP 20m,Average LTP 60m,Crossover,Crossover Price,Signal,Confidence,Liquidity Pass,LTP Pass,Reasons,Scan Time
KEC,KEC-EQ,441.8,441.8,441.8,167.0,0.0,0.0,167.0,0.0,5.0,1598645.0,445.2,487.5488402539134,566.5854782649278,32.00462160600809,,,,,,NONE,,SELL,70.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows weak momentum']",2026-08-12 17:43:27
GSEC10IETF,GSEC10IETF-EQ,266.05,266.05,0.0,0.0,0.0,0.0,0.0,0.0,1114.0,1334.0,266.21,263.4617860623963,260.16823776913697,59.30563460443956,,,,,,NONE,,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:43:29
FINPIPE,FINPIPE-EQ,161.35,161.35,0.0,0.0,161.35,1178.0,0.0,1178.0,1.0,422174.0,161.81,167.241583290216,172.57447719699863,52.227101631116675,,,,,,SELL,165.03,SELL,50.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:43:31
NPBET,NPBET-EQ,282.97,282.97,0.0,0.0,0.0,0.0,0.0,0.0,666.0,2979.0,283.0,285.548095014648,284.60442921494507,49.778621125869726,,,,,,BUY,292.17,HOLD,10.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:43:34
GREAVESCOT,GREAVESCOT-EQ,193.76,193.76,0.0,0.0,193.76,2300.0,0.0,2300.0,1.0,1212348.0,194.09,216.96327473338565,182.9824016775391,26.60342783227337,,,,,,NONE,,HOLD,25.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI is strongly oversold']",2026-08-12 17:43:36
INDORAMA,INDORAMA-EQ,58.16,58.16,0.0,0.0,58.16,952.0,0.0,952.0,1.0,239333.0,58.52,51.89063871861212,43.206786461020734,67.36161035226458,,,,,,BUY,45.68,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:43:39
CREST,CREST-EQ,363.35,363.35,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5853.0,368.9,374.4519238803096,364.8911825166777,45.05836575875484,,,,,,BUY,391.1,HOLD,10.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:43:41
NIFTYBETA,NIFTYBETA-EQ,270.65,270.65,0.0,0.0,0.0,0.0,0.0,0.0,49.0,36036.0,270.01,267.9908317954644,270.4674097470357,73.0501392757662,,,,,,NONE,,HOLD,10.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI is overbought']",2026-08-12 17:43:43
IGPL,IGPL-EQ,467.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,53511.0,465.91,458.88637259287015,410.20421864316876,54.603532506576464,,,,,,NONE,,BUY,70.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:43:46
ENIL,ENIL-EQ,101.33,101.33,0.0,0.0,0.0,0.0,0.0,0.0,56.0,51252.0,101.1,106.87443202885974,110.49277861257157,32.345013477089,,,,,,SELL,110.0,SELL,70.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows weak momentum']",2026-08-12 17:43:48
COMMOIETF,COMMOIETF-EQ,100.53,100.53,0.0,0.0,0.0,0.0,0.0,0.0,158.0,21734.0,100.68,100.9390127014117,99.64566816770665,52.962515114873014,,,,,,NONE,,HOLD,10.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows mild bullish momentum']",2026-08-12 17:43:54
MALUPAPER,MALUPAPER-EQ,31.56,31.56,31.56,182.0,0.0,0.0,182.0,0.0,18.0,2744.0,31.6,32.22091201323515,32.612092754537294,33.09929789368104,,,,,,NONE,,SELL,70.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows weak momentum']",2026-08-12 17:43:56
KUANTUM,KUANTUM-EQ,85.08,85.08,0.0,0.0,0.0,0.0,0.0,0.0,1640.0,160582.0,84.98,79.150648026685,82.21473170408642,68.20276497695846,,,,,,NONE,,HOLD,25.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:43:59
EMAMILTD,EMAMILTD-EQ,397.25,397.25,0.0,0.0,397.25,1587.0,0.0,1587.0,30.0,407075.0,398.01,408.16653497409067,445.67839891604984,39.4795127353267,,,,,,NONE,,SELL,70.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows weak momentum']",2026-08-12 17:44:01
ESG,ESG-EQ,42.06,42.06,0.0,0.0,0.0,0.0,0.0,0.0,5.0,56367.0,42.05,41.631007452826964,41.80949841505398,68.21192052980133,,,,,,NONE,,HOLD,25.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:44:04
