Signal,Trades,Wins,Losses,Win Rate %,Net PnL,Average PnL,Average Return %,Largest Win,Largest Loss,Profit Factor
BUY,4,1,3,25.0,-499.72,-124.93,-0.65,1952.67,-1037.84,0.8
SELL,5,1,4,20.0,-2197.66,-439.53,-2.2,1954.75,-1040.79,0.47
