Trend Regime,Trades,Wins,Losses,Break-even,Win Rate %,Net PnL,Average PnL,Average Return %,Average Holding Bars
BEAR,3,1,2,0,33.33,-123.24,-41.08,-0.2,35.33
UNKNOWN,3,1,2,0,33.33,538.13,179.38,0.87,24.0
