Signal,Trades,Wins,Losses,Break-even,Win Rate %,Net PnL,Average PnL,Average Return %,Average Holding Bars
BUY,4,1,3,0,25.0,-499.72,-124.93,-0.65,23.75
SELL,2,1,1,0,50.0,914.6,457.3,2.3,41.5
