Year,Trades,Wins,Losses,Win Rate %,Gross PnL,Transaction Costs,Net PnL
2025,7,1,6,14.29,-3472.787,141.504,-3614.291
2026,2,1,1,50.0,955.3164,38.4076,916.9088
