Signal,Trades,Wins,Losses,Win Rate %,Net PnL,Average PnL,Largest Win,Largest Loss
BUY,4,1,3,25.0,-499.7184,-124.9296,1952.6719,-1037.8439
SELL,5,1,4,20.0,-2197.6638,-439.5328,1954.7527,-1040.7941
