date,Symbol,close,volume,return_1d,return_5d,return_10d,sma20,sma120,sma20_sma120_ratio,rsi,etq_5m,etq_20m,etq_60m,high_low_range,open_close_range,volatility_10d,volatility_20d,volume_change,volume_ratio,momentum_5d,momentum_20d,future_return,target,probability_up,probability_down,prediction,prediction_direction,confidence,trade,strategy_return,trade_result,equity
2026-06-05 00:00:00+05:30,ITC-EQ,280.7,16065822,0.0014270424545128,-0.0216103171836876,-0.0887842882648921,297.91,323.7079166666667,0.9203049559852696,32.56942905024626,214210.96,856843.8400000001,2570531.52,0.0126469540434626,0.0024999999999999,0.0165752031995448,0.0137639309338239,-0.2703202351351648,0.7994921770072799,-0.0216103171836876,-0.0868575146389069,0.0156750979693625,1,0.4378136790955498,0.5621863209044502,0,SELL,0.5621863209044502,SELL,-0.0166750979693625,LOSS,99833.24902030638
2026-06-05 00:00:00+05:30,RELIANCE-EQ,1291.0,17785223,-0.0097415049474572,-0.0228580078716318,-0.0434202726733846,1345.215,1417.8133333333333,0.948795563120674,33.317068047589146,237136.30666666667,948545.2266666668,2845635.68,0.0139426800929512,-0.0103487926408585,0.0083073271327218,0.0124492443847048,-0.2423542962488338,1.0364439726247257,-0.0228580078716318,-0.1011001253307338,0.0015491866769945,1,0.4392754456180084,0.5607245543819916,0,SELL,0.5607245543819916,SELL,-0.0025491866769945,LOSS,99807.79966147401
2026-06-05 00:00:00+05:30,SBIN-EQ,977.7,20955539,-0.0015828440132754,0.0137909581086685,0.0281838258491955,966.4175,1050.0041666666666,0.9203939666906086,44.74933267904711,279407.18666666665,1117628.7466666666,3352886.24,0.0225017899151068,-0.0023469387755101,0.0095075876731173,0.0203938432890489,0.1101752961702506,1.048904435733798,0.0137909581086685,-0.1046703296703296,0.0403498005523166,1,0.742362157560384,0.25763784243961596,1,BUY,0.742362157560384,BUY,0.0393498005523166,WIN,100200.54136249848
2026-06-05 00:00:00+05:30,SUZLON-EQ,55.31,72836939,-0.0055735346997481,-0.0294788559396385,0.046150936258748,54.121,48.89383333333333,1.1069085058442951,56.69647024799303,971159.1866666666,3884636.7466666666,11653910.24,0.0184415114807448,-0.0087813620071683,0.0273479099815167,0.0234257229551018,-0.3885388664060023,0.7062460988844249,-0.0294788559396385,-0.0061096136567834,-0.0041583800397758,0,0.24459465306953543,0.7554053469304646,0,SELL,0.7554053469304646,SELL,0.0031583800397758004,WIN,100232.18850147989
2026-06-05 00:00:00+05:30,TATAMOTORS-EQ,397.8,9554051,-0.0047535651738803,0.0099009900990099,0.1008717310087172,369.7600000000001,353.6395833333333,1.0455843107683789,66.91086025634795,127387.34666666668,509549.3866666667,1528648.16,0.0237556561085972,-0.0079800498753116,0.0209639397846441,0.022097454558152,-0.2082696350402708,0.7235914665588581,0.0099009900990099,0.1073068893528184,-0.0196078431372549,0,0.3397680734160282,0.6602319265839718,0,SELL,0.6602319265839718,SELL,0.0186078431372549,WIN,100418.69898557382
2026-06-08 00:00:00+05:30,ITC-EQ,279.45,15779677,-0.0044531528322051,-0.0007151796888967,-0.0737487570434206,296.51,322.6945833333333,0.9188564522439304,31.69512587609516,210395.69333333333,841582.7733333333,2524748.32,0.0232599749507962,0.0016129032258064,0.0161125113202263,0.0137212885197927,-0.0178107911316333,0.7891012268347386,-0.0007151796888967,-0.0910717189786957,0.0302379674360351,1,0.5097015687725542,0.49029843122744576,1,BUY,0.5097015687725542,NO TRADE,0.0,NO TRADE,100418.69898557382
2026-06-08 00:00:00+05:30,RELIANCE-EQ,1263.3,16494759,-0.0214562354763749,-0.0429545454545454,-0.0673311184939092,1336.62,1415.5958333333333,0.9442101824025808,28.652431676924863,219930.12,879720.48,2639161.44,0.0185229161719305,-0.0107282693813626,0.0093374560288149,0.0129073897949712,-0.0725582130738534,0.9397955925261622,-0.0429545454545454,-0.1197742474916389,0.0345919417398876,1,0.4484955623908499,0.55150443760915,0,SELL,0.55150443760915,SELL,-0.0355919417398876,LOSS,100061.28933718483
2026-06-08 00:00:00+05:30,SBIN-EQ,981.95,12895416,0.0043469366881456,0.0291898123886384,0.0345027391487569,964.55,1050.1925,0.9184506649971312,46.43493613479076,171938.88,687755.52,2063266.56,0.0239319720963389,0.0165113871635611,0.0093739568637756,0.0144924122634809,-0.3846297153225216,0.7077624741238696,0.0291898123886384,-0.0366427940743646,0.0396150516828759,1,0.6297761764394253,0.3702238235605747,1,BUY,0.6297761764394253,BUY,0.0386150516828759,WIN,100447.67652310588
2026-06-08 00:00:00+05:30,SUZLON-EQ,54.43,76527450,-0.0159103236304466,0.0092712775820507,0.0126511627906977,54.09400000000001,48.9095,1.106001901471085,52.87641075944075,1020366.0,4081464.0,12244392.0,0.0380304978871945,0.0042435424354242,0.0277242627520329,0.0235409380172527,0.0506681232169847,0.7349996526283388,0.0092712775820507,-0.0098235401127887,0.0209443321697593,1,0.5236231188783896,0.47637688112161036,1,BUY,0.5236231188783896,NO TRADE,0.0,NO TRADE,100447.67652310588
2026-06-08 00:00:00+05:30,TATAMOTORS-EQ,389.0,7585986,-0.0221216691804927,0.0106521174330995,0.070593092059997,371.4375,354.00875,1.0492325401561404,60.29280644061754,101146.48,404585.92,1213757.76,0.0151670951156811,-0.0076530612244897,0.0232919133735789,0.0226782306795178,-0.2059927249708003,0.5681466076791694,0.0106521174330995,0.0943873962582642,0.0190231362467865,1,0.46870981341781726,0.5312901865821827,0,SELL,0.5312901865821827,NO TRADE,0.0,NO TRADE,100447.67652310588
