date,Symbol,close,future_return,target,prediction,probability_up,probability_down,fold,train_start,train_end,test_start,test_end
2026-02-01 00:00:00+05:30,SUZLON-EQ,46.17,0.0405024907948883,1,1,0.7097031036527771,0.2902968963472229,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-01 00:00:00+05:30,SBIN-EQ,1018.2,0.0473384403849932,1,0,0.44532267899465816,0.5546773210053418,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-01 00:00:00+05:30,TATAMOTORS-EQ,344.65,0.0721021325982882,1,1,0.7113899051719109,0.2886100948280891,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-01 00:00:00+05:30,ITC-EQ,309.45,0.0528356761997093,1,0,0.3932538968287751,0.6067461031712249,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-01 00:00:00+05:30,RELIANCE-EQ,1347.0,0.0770601336302894,1,0,0.38649742044378954,0.6135025795562105,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-02 00:00:00+05:30,ITC-EQ,314.7,0.0257387988560533,1,1,0.5303902248600479,0.46960977513995206,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-02 00:00:00+05:30,RELIANCE-EQ,1390.4,0.0512082853855004,1,0,0.44960373983530605,0.5503962601646939,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-02 00:00:00+05:30,SBIN-EQ,1028.7,0.1140274132400116,1,0,0.3939853033960314,0.6060146966039686,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-02 00:00:00+05:30,SUZLON-EQ,46.99,0.0255373483719938,1,1,0.7332871432606484,0.26671285673935163,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-02 00:00:00+05:30,TATAMOTORS-EQ,362.9,0.0399559107192064,1,0,0.47660861078842365,0.5233913892115764,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-03 00:00:00+05:30,TATAMOTORS-EQ,372.05,0.0196210186802849,1,0,0.4064378527330316,0.5935621472669683,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-03 00:00:00+05:30,SUZLON-EQ,49.16,-0.0299023596419852,0,1,0.610293145713343,0.38970685428665697,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
2026-02-03 00:00:00+05:30,SBIN-EQ,1064.2,0.0750798722044727,1,0,0.41354965214897926,0.5864503478510208,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30
