rank,trades,win_rate,total_return,maximum_drawdown,profit_factor,sharpe_ratio,confidence_threshold,position_size,max_positions,optimization_score
1,182,0.5769230769230769,1.5920752238244793,-0.4515526284852459,1.4700702873788425,1.9075150493824928,0.65,1.0,20,110.88323042728531
2,182,0.5769230769230769,1.5920752238244793,-0.4515526284852459,1.4700702873788425,1.9075150493824928,0.65,1.0,10,110.88323042728531
3,182,0.5769230769230769,1.5920752238244793,-0.4515526284852459,1.4700702873788425,1.9075150493824928,0.65,1.0,5,110.88323042728531
4,182,0.5769230769230769,1.5920752238244793,-0.4515526284852459,1.4700702873788425,1.9075150493824928,0.65,1.0,3,110.88323042728531
5,182,0.5769230769230769,1.1135521562640451,-0.354861039569904,1.4700702873788427,1.9075150493824926,0.65,0.75,20,74.63391434108294
6,182,0.5769230769230769,1.1135521562640451,-0.354861039569904,1.4700702873788427,1.9075150493824926,0.65,0.75,10,74.63391434108294
7,182,0.5769230769230769,1.1135521562640451,-0.354861039569904,1.4700702873788427,1.9075150493824926,0.65,0.75,5,74.63391434108294
8,182,0.5769230769230769,1.1135521562640451,-0.354861039569904,1.4700702873788427,1.9075150493824926,0.65,0.75,3,74.63391434108294
9,182,0.5769230769230769,0.684467462789196,-0.24749568656554755,1.4700702873788425,1.9075150493824928,0.65,0.5,20,44.6092873541208
10,182,0.5769230769230769,0.684467462789196,-0.24749568656554755,1.4700702873788425,1.9075150493824928,0.65,0.5,10,44.6092873541208
11,182,0.5769230769230769,0.684467462789196,-0.24749568656554755,1.4700702873788425,1.9075150493824928,0.65,0.5,5,44.6092873541208
12,182,0.5769230769230769,0.684467462789196,-0.24749568656554755,1.4700702873788425,1.9075150493824928,0.65,0.5,3,44.6092873541208
13,182,0.5769230769230769,0.3125091609654591,-0.12922696006930445,1.4700702873788425,1.9075150493824928,0.65,0.25,20,21.605704351296293
14,182,0.5769230769230769,0.3125091609654591,-0.12922696006930445,1.4700702873788425,1.9075150493824928,0.65,0.25,10,21.605704351296293
15,182,0.5769230769230769,0.3125091609654591,-0.12922696006930445,1.4700702873788425,1.9075150493824928,0.65,0.25,5,21.605704351296293
16,182,0.5769230769230769,0.3125091609654591,-0.12922696006930445,1.4700702873788425,1.9075150493824928,0.65,0.25,3,21.605704351296293
17,309,0.5533980582524272,0.9212540379268288,-0.653090061959063,1.2125291954715336,1.2370458151558639,0.6,1.0,3,17.994615241630996
18,309,0.5533980582524272,0.9212540379268288,-0.653090061959063,1.2125291954715336,1.2370458151558639,0.6,1.0,5,17.994615241630996
19,309,0.5533980582524272,0.9212540379268288,-0.653090061959063,1.2125291954715336,1.2370458151558639,0.6,1.0,10,17.994615241630996
20,309,0.5533980582524272,0.9212540379268288,-0.653090061959063,1.2125291954715336,1.2370458151558639,0.6,1.0,20,17.994615241630996
21,309,0.5533980582524272,0.7318281513688667,-0.5443007568373721,1.2125291954715334,1.2370458151558636,0.6,0.75,3,12.10674320043772
22,309,0.5533980582524272,0.7318281513688667,-0.5443007568373721,1.2125291954715334,1.2370458151558636,0.6,0.75,5,12.10674320043772
23,309,0.5533980582524272,0.7318281513688667,-0.5443007568373721,1.2125291954715334,1.2370458151558636,0.6,0.75,10,12.10674320043772
24,309,0.5533980582524272,0.7318281513688667,-0.5443007568373721,1.2125291954715334,1.2370458151558636,0.6,0.75,20,12.10674320043772
25,309,0.5533980582524272,0.4995573025675293,-0.40468340298543604,1.2125291954715336,1.2370458151558639,0.6,0.5,3,5.633740782536286
26,309,0.5533980582524272,0.4995573025675293,-0.40468340298543604,1.2125291954715336,1.2370458151558639,0.6,0.5,5,5.633740782536286
27,309,0.5533980582524272,0.4995573025675293,-0.40468340298543604,1.2125291954715336,1.2370458151558639,0.6,0.5,10,5.633740782536286
28,309,0.5533980582524272,0.4995573025675293,-0.40468340298543604,1.2125291954715336,1.2370458151558639,0.6,0.5,20,5.633740782536286
29,309,0.5533980582524272,0.24840919999007505,-0.22643079341650119,1.2125291954715336,1.2370458151558639,0.6,0.25,3,1.9092436730630453
30,309,0.5533980582524272,0.24840919999007505,-0.22643079341650119,1.2125291954715336,1.2370458151558639,0.6,0.25,5,1.9092436730630453
31,309,0.5533980582524272,0.24840919999007505,-0.22643079341650119,1.2125291954715336,1.2370458151558639,0.6,0.25,10,1.9092436730630453
32,309,0.5533980582524272,0.24840919999007505,-0.22643079341650119,1.2125291954715336,1.2370458151558639,0.6,0.25,20,1.9092436730630453
33,91,0.6043956043956044,0.09897425398175419,-0.11425948917283568,1.301595730783695,0.9354810925073737,0.7,0.25,20,-0.03675978237081701
34,91,0.6043956043956044,0.09897425398175419,-0.11425948917283568,1.301595730783695,0.9354810925073737,0.7,0.25,10,-0.03675978237081701
35,91,0.6043956043956044,0.09897425398175419,-0.11425948917283568,1.301595730783695,0.9354810925073737,0.7,0.25,5,-0.03675978237081701
36,91,0.6043956043956044,0.09897425398175419,-0.11425948917283568,1.301595730783695,0.9354810925073737,0.7,0.25,3,-0.03675978237081701
37,91,0.6043956043956044,0.19396494465674774,-0.21811095722712026,1.301595730783695,0.9354810925073737,0.7,0.5,20,-2.9998668813856106
38,91,0.6043956043956044,0.19396494465674774,-0.21811095722712026,1.301595730783695,0.9354810925073737,0.7,0.5,10,-2.9998668813856106
39,91,0.6043956043956044,0.19396494465674774,-0.21811095722712026,1.301595730783695,0.9354810925073737,0.7,0.5,5,-2.9998668813856106
40,91,0.6043956043956044,0.19396494465674774,-0.21811095722712026,1.301595730783695,0.9354810925073737,0.7,0.5,3,-2.9998668813856106
41,91,0.6043956043956044,0.2822761224014676,-0.31221729831293654,1.3015957307836956,0.9354810925073734,0.7,0.75,20,-5.461510037211575
42,91,0.6043956043956044,0.2822761224014676,-0.31221729831293654,1.3015957307836956,0.9354810925073734,0.7,0.75,10,-5.461510037211575
43,91,0.6043956043956044,0.2822761224014676,-0.31221729831293654,1.3015957307836956,0.9354810925073734,0.7,0.75,5,-5.461510037211575
44,91,0.6043956043956044,0.2822761224014676,-0.31221729831293654,1.3015957307836956,0.9354810925073734,0.7,0.75,3,-5.461510037211575
45,91,0.6043956043956044,0.36117027269838275,-0.3972262393861863,1.301595730783695,0.9354810925073737,0.7,1.0,20,-7.773167936310031
46,91,0.6043956043956044,0.36117027269838275,-0.3972262393861863,1.301595730783695,0.9354810925073737,0.7,1.0,10,-7.773167936310031
47,91,0.6043956043956044,0.36117027269838275,-0.3972262393861863,1.301595730783695,0.9354810925073737,0.7,1.0,5,-7.773167936310031
48,91,0.6043956043956044,0.36117027269838275,-0.3972262393861863,1.301595730783695,0.9354810925073737,0.7,1.0,3,-7.773167936310031
49,52,0.4807692307692308,-0.03898235246821602,-0.0909734778896828,0.8466352425456924,-0.44525300849659305,0.75,0.25,3,-14.378154137261799
50,52,0.4807692307692308,-0.03898235246821602,-0.0909734778896828,0.8466352425456924,-0.44525300849659305,0.75,0.25,5,-14.378154137261799
51,52,0.4807692307692308,-0.03898235246821602,-0.0909734778896828,0.8466352425456924,-0.44525300849659305,0.75,0.25,10,-14.378154137261799
52,52,0.4807692307692308,-0.03898235246821602,-0.0909734778896828,0.8466352425456924,-0.44525300849659305,0.75,0.25,20,-14.378154137261799
53,483,0.5362318840579711,0.11333821586323767,-0.29697657547987855,1.0722570225205255,0.5630680724096184,0.55,0.25,3,-21.568742419863923
54,483,0.5362318840579711,0.11333821586323767,-0.29697657547987855,1.0722570225205255,0.5630680724096184,0.55,0.25,5,-21.568742419863923
55,483,0.5362318840579711,0.11333821586323767,-0.29697657547987855,1.0722570225205255,0.5630680724096184,0.55,0.25,10,-21.568742419863923
56,483,0.5362318840579711,0.11333821586323767,-0.29697657547987855,1.0722570225205255,0.5630680724096184,0.55,0.25,20,-21.568742419863923
57,630,0.526984126984127,0.12326086579627371,-0.30802711383049386,1.0631163784430413,0.562963185121487,0.5,0.25,3,-21.921140204361752
58,630,0.526984126984127,0.12326086579627371,-0.30802711383049386,1.0631163784430413,0.562963185121487,0.5,0.25,5,-21.921140204361752
59,630,0.526984126984127,0.12326086579627371,-0.30802711383049386,1.0631163784430413,0.562963185121487,0.5,0.25,10,-21.921140204361752
60,630,0.526984126984127,0.12326086579627371,-0.30802711383049386,1.0631163784430413,0.562963185121487,0.5,0.25,20,-21.921140204361752
61,52,0.4807692307692308,-0.08254663309288968,-0.1752050728521387,0.8466352425456924,-0.44525300849659305,0.75,0.5,3,-28.842373595223876
62,52,0.4807692307692308,-0.08254663309288968,-0.1752050728521387,0.8466352425456924,-0.44525300849659305,0.75,0.5,5,-28.842373595223876
63,52,0.4807692307692308,-0.08254663309288968,-0.1752050728521387,0.8466352425456924,-0.44525300849659305,0.75,0.5,10,-28.842373595223876
64,52,0.4807692307692308,-0.08254663309288968,-0.1752050728521387,0.8466352425456924,-0.44525300849659305,0.75,0.5,20,-28.842373595223876
65,483,0.5362318840579711,0.1672429798611652,-0.5160462520879875,1.0722570225205255,0.5630680724096184,0.55,0.5,3,-42.46662721304425
66,483,0.5362318840579711,0.1672429798611652,-0.5160462520879875,1.0722570225205255,0.5630680724096184,0.55,0.5,5,-42.46662721304425
67,483,0.5362318840579711,0.1672429798611652,-0.5160462520879875,1.0722570225205255,0.5630680724096184,0.55,0.5,10,-42.46662721304425
68,483,0.5362318840579711,0.1672429798611652,-0.5160462520879875,1.0722570225205255,0.5630680724096184,0.55,0.5,20,-42.46662721304425
69,52,0.4807692307692308,-0.12995972898547126,-0.2530728114766886,0.8466352425456922,-0.44525300849659327,0.75,0.75,3,-42.92781181942802
70,52,0.4807692307692308,-0.12995972898547126,-0.2530728114766886,0.8466352425456922,-0.44525300849659327,0.75,0.75,5,-42.92781181942802
71,52,0.4807692307692308,-0.12995972898547126,-0.2530728114766886,0.8466352425456922,-0.44525300849659327,0.75,0.75,10,-42.92781181942802
72,52,0.4807692307692308,-0.12995972898547126,-0.2530728114766886,0.8466352425456922,-0.44525300849659327,0.75,0.75,20,-42.92781181942802
73,630,0.526984126984127,0.17057633065713484,-0.5330839882566618,1.0631163784430413,0.562963185121487,0.5,0.5,3,-44.19641864941579
74,630,0.526984126984127,0.17057633065713484,-0.5330839882566618,1.0631163784430413,0.562963185121487,0.5,0.5,5,-44.19641864941579
75,630,0.526984126984127,0.17057633065713484,-0.5330839882566618,1.0631163784430413,0.562963185121487,0.5,0.5,10,-44.19641864941579
76,630,0.526984126984127,0.17057633065713484,-0.5330839882566618,1.0631163784430413,0.562963185121487,0.5,0.5,20,-44.19641864941579
77,52,0.4807692307692308,-0.18045736210263696,-0.32494153996056396,0.8466352425456924,-0.44525300849659305,0.75,1.0,3,-56.601822549209636
78,52,0.4807692307692308,-0.18045736210263696,-0.32494153996056396,0.8466352425456924,-0.44525300849659305,0.75,1.0,5,-56.601822549209636
79,52,0.4807692307692308,-0.18045736210263696,-0.32494153996056396,0.8466352425456924,-0.44525300849659305,0.75,1.0,10,-56.601822549209636
80,52,0.4807692307692308,-0.18045736210263696,-0.32494153996056396,0.8466352425456924,-0.44525300849659305,0.75,1.0,20,-56.601822549209636
81,483,0.5362318840579711,0.15112320293716697,-0.6745373332559188,1.0722570225205252,0.5630680724096182,0.55,0.75,3,-63.097534645595815
82,483,0.5362318840579711,0.15112320293716697,-0.6745373332559188,1.0722570225205252,0.5630680724096182,0.55,0.75,5,-63.097534645595815
83,483,0.5362318840579711,0.15112320293716697,-0.6745373332559188,1.0722570225205252,0.5630680724096182,0.55,0.75,10,-63.097534645595815
84,483,0.5362318840579711,0.15112320293716697,-0.6745373332559188,1.0722570225205252,0.5630680724096182,0.55,0.75,20,-63.097534645595815
85,630,0.526984126984127,0.1306200552983503,-0.6940139883845853,1.0631163784430413,0.5629631851214866,0.5,0.75,3,-67.50364620064506
86,630,0.526984126984127,0.1306200552983503,-0.6940139883845853,1.0631163784430413,0.5629631851214866,0.5,0.75,5,-67.50364620064506
87,630,0.526984126984127,0.1306200552983503,-0.6940139883845853,1.0631163784430413,0.5629631851214866,0.5,0.75,10,-67.50364620064506
88,630,0.526984126984127,0.1306200552983503,-0.6940139883845853,1.0631163784430413,0.5629631851214866,0.5,0.75,20,-67.50364620064506
89,483,0.5362318840579711,0.06637553349879655,-0.786789963025314,1.0722570225205255,0.5630680724096184,0.55,1.0,3,-85.0426171617603
90,483,0.5362318840579711,0.06637553349879655,-0.786789963025314,1.0722570225205255,0.5630680724096184,0.55,1.0,5,-85.0426171617603
91,483,0.5362318840579711,0.06637553349879655,-0.786789963025314,1.0722570225205255,0.5630680724096184,0.55,1.0,10,-85.0426171617603
92,483,0.5362318840579711,0.06637553349879655,-0.786789963025314,1.0722570225205255,0.5630680724096184,0.55,1.0,20,-85.0426171617603
93,630,0.526984126984127,0.01077661482746528,-0.8053277806052996,1.0631163784430413,0.562963185121487,0.5,1.0,3,-92.84564531421928
94,630,0.526984126984127,0.01077661482746528,-0.8053277806052996,1.0631163784430413,0.562963185121487,0.5,1.0,5,-92.84564531421928
95,630,0.526984126984127,0.01077661482746528,-0.8053277806052996,1.0631163784430413,0.562963185121487,0.5,1.0,10,-92.84564531421928
