date,Symbol,close,future_return,target,prediction,probability_up,probability_down,fold,train_start,train_end,test_start,test_end,confidence,direction,trade_return,position_size,optimized_return,result
2026-02-01 00:00:00+05:30,SUZLON-EQ,46.17,0.0405024907948883,1,1,0.7097031036527771,0.2902968963472229,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7097031036527771,BUY,0.0405024907948883,1.0,0.0405024907948883,WIN
2026-02-01 00:00:00+05:30,TATAMOTORS-EQ,344.65,0.0721021325982882,1,1,0.7113899051719109,0.2886100948280891,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7113899051719109,BUY,0.0721021325982882,1.0,0.0721021325982882,WIN
2026-02-02 00:00:00+05:30,SUZLON-EQ,46.99,0.0255373483719938,1,1,0.7332871432606484,0.2667128567393516,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7332871432606484,BUY,0.0255373483719938,1.0,0.0255373483719938,WIN
2026-02-05 00:00:00+05:30,SUZLON-EQ,47.85,-0.0217345872518286,0,1,0.6818218796995719,0.3181781203004281,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6818218796995719,BUY,-0.0217345872518286,1.0,-0.0217345872518286,LOSS
2026-02-06 00:00:00+05:30,TATAMOTORS-EQ,369.5,0.0290933694181325,1,0,0.3280621656869675,0.6719378343130324,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6719378343130324,SELL,-0.0290933694181325,1.0,-0.0290933694181325,LOSS
2026-02-06 00:00:00+05:30,SUZLON-EQ,48.04,-0.0493338884263113,0,1,0.6691893241822766,0.3308106758177234,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6691893241822766,BUY,-0.0493338884263113,1.0,-0.0493338884263113,LOSS
2026-02-09 00:00:00+05:30,TATAMOTORS-EQ,377.4,-0.0003974562798091,0,0,0.3496162550858753,0.6503837449141247,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6503837449141247,SELL,0.0003974562798091,1.0,0.0003974562798091,WIN
2026-02-10 00:00:00+05:30,TATAMOTORS-EQ,379.35,0.0092263081586925,1,0,0.2137439823181111,0.7862560176818888,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7862560176818888,SELL,-0.0092263081586925,1.0,-0.0092263081586925,LOSS
2026-02-11 00:00:00+05:30,TATAMOTORS-EQ,384.7,-0.0048089420327527,0,0,0.2791780902168327,0.7208219097831673,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7208219097831673,SELL,0.0048089420327527,1.0,0.0048089420327527,WIN
2026-02-11 00:00:00+05:30,SBIN-EQ,1182.9,0.0304336799391327,1,0,0.3264430633937213,0.6735569366062786,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6735569366062786,SELL,-0.0304336799391327,1.0,-0.0304336799391327,LOSS
2026-02-12 00:00:00+05:30,SBIN-EQ,1192.4,0.0111539751761153,1,0,0.3086784615817902,0.6913215384182099,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.6913215384182099,SELL,-0.0111539751761153,1.0,-0.0111539751761153,LOSS
2026-02-12 00:00:00+05:30,TATAMOTORS-EQ,383.45,-0.0202112400573738,0,0,0.2202255174066363,0.7797744825933637,3,2025-09-23 00:00:00+05:30,2026-01-30 00:00:00+05:30,2026-02-01 00:00:00+05:30,2026-04-02 00:00:00+05:30,0.7797744825933637,SELL,0.0202112400573738,1.0,0.0202112400573738,WIN
