date,Symbol,close,volume,return_1d,return_5d,return_10d,sma20,sma120,sma20_sma120_ratio,rsi,etq_5m,etq_20m,etq_60m,high_low_range,open_close_range,volatility_10d,volatility_20d,volume_change,volume_ratio,momentum_5d,momentum_20d,future_return,target
2025-09-23 00:00:00+05:30,ITC-EQ,403.2,14936357,-0.009214891264283098,-0.023965141612200536,-0.01670527984392156,409.4225,417.9075,0.9796964639304152,40.60868222107513,199151.42666666667,796605.7066666667,2389817.12,0.014880952380952382,-0.009579955784819539,0.0062628860824722665,0.00975617994764598,0.672458471987718,1.113050726875509,-0.023965141612200536,0.009640666082383786,-0.0040922619047618625,0
2025-09-23 00:00:00+05:30,RELIANCE-EQ,1389.8,14014702,-0.0005752912411908229,-0.01102967337934957,0.009882284551663956,1384.325,1401.9095833333333,0.9874566922557714,47.797655987051414,186862.69333333333,747450.7733333333,2242352.32,0.013095409411426137,-0.0008626887131560355,0.005959786310532964,0.008827344388427328,0.8064908732567926,1.390798174459935,-0.01102967337934957,-0.01614045023361177,-0.01856382213268093,0
2025-09-23 00:00:00+05:30,SBIN-EQ,870.6,14357863,0.01794796843028368,0.046960495460285134,0.07634295604871122,824.4725000000001,805.2933333333333,1.0238163733298014,75.13170675424385,191438.17333333334,765752.6933333334,2297258.08,0.026475993567654437,0.01872220922068804,0.011208279495798144,0.009731033587385864,1.177402027347751,1.883308437322637,0.046960495460285134,0.06632371853757113,0.0021249712841717727,1
2025-09-23 00:00:00+05:30,SUZLON-EQ,58.75,43152416,-0.019689637910896063,-0.0038996269922007,0.0296179460217314,57.987,61.33991666666667,0.9453387476072541,47.86224301038022,575365.5466666666,2301462.1866666665,6904386.56,0.02553191489361702,-0.020833333333333332,0.01347428875979366,0.012263701383908424,-0.304864900043075,0.8430497616441027,-0.0038996269922007,0.022984502873062862,-0.06297872340425537,0
2025-09-23 00:00:00+05:30,TATAMOTORS-EQ,424.58,19665022,0.007331134783743254,-0.016675158645606536,-0.019830551515571337,423.721,413.12,1.0256608249419055,52.25270660708752,262200.29333333333,1048801.1733333333,3146403.52,0.015403457534504736,-0.000635518418265361,0.009276808300271206,0.014397622550613795,0.22872973730706114,1.2238496444670972,-0.016675158645606536,0.021189600019241306,-0.030170992510245465,0
2025-09-24 00:00:00+05:30,ITC-EQ,401.0,12380865,-0.005456349206349187,-0.020278524309797263,-0.029173223580680308,409.305,417.86041666666665,0.9795256589870023,38.26626638098161,165078.2,660312.8,1980938.4,0.009850374064837877,-0.005456349206349178,0.005481268490516742,0.009575738862996772,-0.17109205410663386,0.9272284027513393,-0.020278524309797263,-0.00582620552869717,0.011471321695760706,1
2025-09-24 00:00:00+05:30,RELIANCE-EQ,1383.0,5922759,-0.004892790329543817,-0.021785259584099603,0.004357298474945592,1384.23,1402.99625,0.9866241623953023,45.13558181681145,78970.12,315880.48,947641.44,0.011279826464208177,-0.0016602901898505411,0.006246984698500739,0.007718561344595493,-0.57738958702083,0.6064915711700535,-0.021785259584099603,-0.0013719402122898128,-0.010339840925524202,0
2025-09-24 00:00:00+05:30,SBIN-EQ,866.2,12840160,-0.005053985756949153,0.010558245347955575,0.05866536299193359,827.39,806.0808333333333,1.0264355208379639,71.32136854226144,171202.13333333333,684808.5333333333,2054425.6,0.01852920803509577,-0.011187214611872094,0.011748065794763625,0.009393515345378547,-0.10570535461997377,1.6220798189761267,0.010558245347955575,0.07222875533824347,-0.002424382359732191,0
2025-09-24 00:00:00+05:30,SUZLON-EQ,57.5,36883372,-0.021276595744680882,-0.030190588632147075,-0.0012159110647906868,58.0135,61.3545,0.9455459664735267,42.248240762031806,491778.29333333333,1967113.1733333333,5901339.5200000005,0.026434782608695705,-0.021776114324600224,0.015264665409806113,0.01311760256483954,-0.14527677894095203,0.7330101369491904,-0.030190588632147075,0.009303142004563725,-0.04034782608695653,0
2025-09-24 00:00:00+05:30,TATAMOTORS-EQ,413.44,21891003,-0.026237693720853494,-0.050327322843689015,-0.03687655787732658,423.76050000000004,413.17600000000004,1.0256174124344104,43.77136282728543,291880.04000000004,1167520.1600000001,3502560.48,0.0322174922600619,-0.02504362590199501,0.01194687646211981,0.015553024853302741,0.11319494074301062,1.3232354482269968,-0.050327322843689015,0.0019144553495697991,0.051833397832817374,1
